ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2020-01-02,1457.39592,1343.433487576468,1712.8896545636676,1457.39592,1457.39592,69.72518496092397,69.72518496092397,69.72518496092397,-93.6671688,-93.6671688,-93.6671688,-4.270588019989022,-4.270588019989022,-4.270588019989022,167.66294178091292,167.66294178091292,167.66294178091292,0.0,0.0,0.0,1527.121104960924
2020-01-03,1455.889402743561,1335.3606458155825,1701.8104871064381,1455.889402743561,1455.889402743561,57.87505455626432,57.87505455626432,57.87505455626432,-93.6671688,-93.6671688,-93.6671688,-5.3056892837228675,-5.3056892837228675,-5.3056892837228675,156.84791263998721,156.84791263998721,156.84791263998721,0.0,0.0,0.0,1513.7644572998254
2020-01-06,1451.3698509742442,1295.2209145712372,1656.8068574992076,1451.3698509742442,1451.3698509742442,22.243939171780788,22.243939171780788,22.243939171780788,-93.6671688,-93.6671688,-93.6671688,-9.956461490982415,-9.956461490982415,-9.956461490982415,125.8675694627632,125.8675694627632,125.8675694627632,0.0,0.0,0.0,1473.613790146025
2020-01-07,1449.863333717805,1299.5302641964333,1656.2976209845235,1449.863333717805,1449.863333717805,20.315488696321044,20.315488696321044,20.315488696321044,-93.6671688,-93.6671688,-93.6671688,-2.1997534638490475,-2.1997534638490475,-2.1997534638490475,116.18241096017007,116.18241096017007,116.18241096017007,0.0,0.0,0.0,1470.1788224141262
2020-01-08,1448.3568164613662,1273.319107454259,1638.0432909348995,1448.3568164613662,1448.3568164613662,11.499144903491498,11.499144903491498,11.499144903491498,-93.6671688,-93.6671688,-93.6671688,-1.6843313780700755,-1.6843313780700755,-1.6843313780700755,106.85064508156157,106.85064508156157,106.85064508156157,0.0,0.0,0.0,1459.8559613648576
2020-01-09,1446.8502992049273,1265.2078216950135,1628.0456829045263,1446.8502992049273,1446.8502992049273,-0.07242779044873973,-0.07242779044873973,-0.07242779044873973,-93.6671688,-93.6671688,-93.6671688,-4.270588019999333,-4.270588019999333,-4.270588019999333,97.8653290295506,97.8653290295506,97.8653290295506,0.0,0.0,0.0,1446.7778714144786
2020-01-10,1445.3437819484882,1233.0906290828088,1618.2428317286387,1445.3437819484882,1445.3437819484882,-9.76998897223265,-9.76998897223265,-9.76998897223265,-93.6671688,-93.6671688,-93.6671688,-5.3056892837864975,-5.3056892837864975,-5.3056892837864975,89.20286911155384,89.20286911155384,89.20286911155384,0.0,0.0,0.0,1435.5737929762556
2020-01-13,1440.8242301791715,1209.7182587093098,1586.3789215595405,1440.8242301791715,1440.8242301791715,-38.92336003590463,-38.92336003590463,-38.92336003590463,-93.6671688,-93.6671688,-93.6671688,-9.956461490981333,-9.956461490981333,-9.956461490981333,64.7002702550767,64.7002702550767,64.7002702550767,0.0,0.0,0.0,1401.900870143267
2020-01-14,1439.3177129227324,1215.6013408643257,1574.3991828950172,1439.3177129227324,1439.3177129227324,-39.04685504090387,-39.04685504090387,-39.04685504090387,-93.6671688,-93.6671688,-93.6671688,-2.199753463842291,-2.199753463842291,-2.199753463842291,56.820067222938405,56.820067222938405,56.820067222938405,0.0,0.0,0.0,1400.2708578818285
2020-01-15,1437.8111956662933,1202.8740545401247,1569.4295757738096,1437.8111956662933,1437.8111956662933,-46.39079250572323,-46.39079250572323,-46.39079250572323,-93.6671688,-93.6671688,-93.6671688,-1.6843313780635405,-1.6843313780635405,-1.6843313780635405,48.960707672340305,48.960707672340305,48.960707672340305,0.0,0.0,0.0,1391.42040316057
2020-01-16,1436.3046784098544,1197.301605949408,1549.0869500392482,1436.3046784098544,1436.3046784098544,-56.894295437582855,-56.894295437582855,-56.894295437582855,-93.6671688,-93.6671688,-93.6671688,-4.270588020009644,-4.270588020009644,-4.270588020009644,41.04346138242679,41.04346138242679,41.04346138242679,0.0,0.0,0.0,1379.4103829722717
2020-01-17,1434.7981611534155,1178.1815967676266,1563.8829414374693,1434.7981611534155,1434.7981611534155,-65.98208578190847,-65.98208578190847,-65.98208578190847,-93.6671688,-93.6671688,-93.6671688,-5.3056892837249325,-5.3056892837249325,-5.3056892837249325,32.99077230181646,32.99077230181646,32.99077230181646,0.0,0.0,0.0,1368.8160753715072
2020-01-20,1430.2786093840984,1148.104796867341,1526.3209629703053,1430.2786093840984,1430.2786093840984,-96.29364502372903,-96.29364502372903,-96.29364502372903,-93.6671688,-93.6671688,-93.6671688,-9.956461490991572,-9.956461490991572,-9.956461490991572,7.329985267262539,7.329985267262539,7.329985267262539,0.0,0.0,0.0,1333.9849643603693
2020-01-21,1428.7720921276598,1141.170335652832,1514.1773739134806,1428.7720921276598,1428.7720921276598,-97.77181527095465,-97.77181527095465,-97.77181527095465,-93.6671688,-93.6671688,-93.6671688,-2.1997534638355316,-2.1997534638355316,-2.1997534638355316,-1.9048930071191328,-1.9048930071191328,-1.9048930071191328,0.0,0.0,0.0,1331.000276856705
2020-01-22,1427.2655748712207,1128.4221010587603,1511.1403821820452,1427.2655748712207,1427.2655748712207,-106.88801274893896,-106.88801274893896,-106.88801274893896,-93.6671688,-93.6671688,-93.6671688,-1.684331378071796,-1.684331378071796,-1.684331378071796,-11.536512570867167,-11.536512570867167,-11.536512570867167,0.0,0.0,0.0,1320.3775621222817
